	Placed in the public domain in 2006 by the TeX Users Group.

The UGL indexes are based upon Unicode values. In addition, the description of each character or glyph is the ISO name whenever possible. Font files for Microsoft platfoms must use Unicode indicies (given here as hexadecimal values).
The PostScript names are given where they are known or defined. PostScript names for otherwise unknown characters should be based on their Unicode index. For example, the box drawing light character should be called `2500'. The only characters that are not presently assigned PostScript names are the forms characters from Unicode index 2500 thru 256c. Note that Adobe uses GCID's for unassigned PostScript names.


Unicode Index	IBM GCID	PostScript Name	Descriptive Name 

ASCII			

0020	SP010000	space	space
0021	SP020000	exclam	exclamation mark
0022	SP040000	quotedbl	quotation mark
0023	SM010000	numbersign	number sign
0024	SC030000	dollar	dollar sign
0025	SM020000	percent	percent sign
0026	SM030000	ampersand	ampersand
0027	SP050000	quotesingle	apostrophe
0028	SP060000	parenleft	left parenthesis 
0029	SP070000	parenright	right parenthesis
002a	SM040000	asterisk	asterisk
002b	SA010000	plus	plus sign
002c	SP080000	comma	comma
002d	SP100000	hyphen	hyphen-minus
002e	SP110000	period	period
002f	SP120000	slash	slash


			
0030	ND100000	zero	digit zero
0031	ND010000	one	digit one
0032	ND020000	two	digit two
0033	ND030000	three	digit three
0034	ND040000	four	digit four
0035	ND050000	five	digit five
0036	ND060000	six	digit six
0037	ND070000	seven	digit seven
0038	ND080000	eight	digit eight
0039	ND090000	nine	digit nine
003a	SP130000	colon	colon
003b	SP140000	semicolon	semicolon
003c	SA030000	less	less-than sign
003d	SA040000	equal	equals sign
003e	SA050000	greater	greater-than sign
003f	SP150000	question	question mark


			
0040	SM050000	at	commercial at
0041	LA020000	A	latin capital letter a
0042	LB020000	B	latin capital letter b
0043	LC020000	C	latin capital letter c
0044	LD020000	D	latin capital letter d
0045	LE020000	E	latin capital letter e
0046	LF020000	F	latin capital letter f
0047	LG020000	G	latin capital letter g
0048	LH020000	H	latin capital letter h
0049	LI020000	I	latin capital letter i
004a	LJ020000	J	latin capital letter j
004b	LK020000	K	latin capital letter k
004c	LL020000	L	latin capital letter l
004d	LM020000	M	latin capital letter m
004e	LN020000	N	latin capital letter n
004f	LO020000	O	latin capital letter o


			
0050	LP020000	P	latin capital letter p
0051	LQ020000	Q	latin capital letter q
0052	LR020000	R	latin capital letter r
0053	LS020000	S	latin capital letter s
0054	LT020000	T	latin capital letter t
0055	LU020000	U	latin capital letter u
0056	LV020000	V	latin capital letter v
0057	LW020000	W	latin capital letter w
0058	LX020000	X	latin capital letter x
0059	LY020000	Y	latin capital letter y
005a	LZ020000	Z	latin capital letter z
005b	SM060000	bracketleft	left square bracket
005c	SM070000	backslash	backslash
005d	SM080000	bracketright  	right square bracket
005e	SD150000	asciicircum	circumflex accent
005f	SP090000	underscore	underline


			
0060	SD130000	grave	grave accent
